Countries,TotalCases,TotalDeaths,Population,ActiveCases,TotalRecovered
USA,"81,832,612",1008198.0,334400597.0,"15,147,900","65,676,514"
India,"43,029,044",521388.0,1403754381.0,"12,567","42,495,089"
Brazil,"29,999,816",660269.0,215204501.0,"554,619","28,784,928"
France,"25,997,852",142506.0,65526369.0,"2,464,855","23,390,491"
UK,"21,216,874",165570.0,68510300.0,"1,975,601","19,075,703"
Russia,"17,912,157",369995.0,146044010.0,"544,285","16,997,877"
Italy,"14,845,815",159784.0,60306185.0,"1,284,016","13,402,015"
Spain,"11,551,574",102541.0,46786482.0,"530,130","10,918,903"
Japan,"6,702,086",28286.0,125798669.0,"470,278","6,203,522"
Germany,"21,646,375",130563.0,84252947.0,"4,359,212","17,156,600"
Canada,"3,499,226",37690.0,38321435.0,"165,583","3,295,953"
Denmark,"2,919,428",5762.0,5827911.0,"58,511","2,855,155"
Sweden,"2,487,852",18331.0,10209507.0,"30,102","2,439,419"
Norway,"1,408,708",2518.0,5495449.0,,
Nigeria,"255,468",3142.0,215077352.0,"2,714","249,612"
Greenland,"11,971",21.0,56942.0,"9,189","2,761"
China,"156,143",4638.0,1439323776.0,"25,724","125,781"
